inventory_month,store_id,product_id,beginning_inventory,restock_qty,ending_inventory,stockout_days,reorder_level
2024-01-01,S001,P0001,23,18,33.0,0.0,5
2024-01-01,S001,P0002,13,9,11.0,0.0,5
2024-01-01,S001,P0003,47,28,29.0,0.0,10
2024-01-01,S001,P0004,30,19,22.0,0.0,7
2024-01-01,S001,P0005,27,11,12.0,0.0,10
2024-01-01,S001,P0006,40,37,49.0,0.0,14
2024-01-01,S001,P0007,28,8,22.0,0.0,6
2024-01-01,S001,P0008,52,45,35.0,0.0,16
2024-01-01,S001,P0009,40,28,43.0,0.0,10
2024-01-01,S001,P0010,14,17,22.0,0.0,5
2024-01-01,S001,P0011,49,48,67.0,0.0,16
2024-01-01,S001,P0012,87,63,109.0,0.0,18
2024-01-01,S001,P0013,64,37,70.0,0.0,13
2024-01-01,S001,P0014,27,9,18.0,0.0,8
2024-01-01,S001,P0015,60,40,69.0,0.0,14
2024-01-01,S001,P0016,44,26,24.0,0.0,12
2024-01-01,S001,P0017,110,93,164.0,0.0,24
2024-01-01,S001,P0018,40,21,34.0,0.0,14
2024-01-01,S001,P0019,70,67,75.0,0.0,22
2024-01-01,S001,P0020,107,52,112.0,0.0,22
2024-01-01,S001,P0021,35,15,20.0,0.0,10
2024-01-01,S001,P0022,88,14,41.0,0.0,18
2024-01-01,S001,P0023,63,32,24.0,0.0,24
2024-01-01,S001,P0024,53,15,0.0,2.0,17
2024-01-01,S001,P0025,33,9,21.0,0.0,9
2024-01-01,S001,P0026,35,12,23.0,0.0,7
2024-01-01,S001,P0027,35,27,45.0,0.0,7
2024-01-01,S001,P0028,72,18,50.0,0.0,16
2024-01-01,S001,P0029,70,77,103.0,0.0,25
2024-01-01,S001,P0030,36,11,11.0,0.0,9
2024-01-01,S001,P0031,59,25,60.0,0.0,15
2024-01-01,S001,P0032,36,28,39.0,0.0,12
2024-01-01,S001,P0033,134,47,68.0,0.0,34
2024-01-01,S001,P0034,38,37,27.0,0.0,13
2024-01-01,S001,P0035,31,10,15.0,0.0,7
2024-01-01,S001,P0036,39,30,51.0,0.0,11
2024-01-01,S001,P0037,122,59,71.0,0.0,26
2024-01-01,S001,P0038,59,56,51.0,0.0,22
2024-01-01,S001,P0039,70,61,94.0,0.0,18
2024-01-01,S001,P0040,136,112,140.0,0.0,30
2024-01-01,S001,P0041,44,42,52.0,0.0,12
2024-01-01,S001,P0042,43,28,52.0,0.0,9
2024-01-01,S001,P0043,25,12,21.0,0.0,8
2024-01-01,S001,P0044,70,40,83.0,0.0,14
2024-01-01,S001,P0045,36,8,10.0,0.0,8
2024-01-01,S001,P0046,52,29,29.0,0.0,19
2024-01-01,S001,P0047,56,64,51.0,0.0,17
2024-01-01,S001,P0048,166,111,179.0,0.0,34
2024-01-01,S001,P0049,100,32,81.0,0.0,21
2024-01-01,S001,P0050,83,76,101.0,0.0,20
2024-01-01,S001,P0051,41,18,14.0,0.0,10
2024-01-01,S001,P0052,25,32,30.0,0.0,9
2024-01-01,S001,P0053,80,72,97.0,0.0,22
2024-01-01,S001,P0054,14,17,24.0,0.0,5
