order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_pct
OI0000001,O000001,P0001,1,104.29,51.81,0.0
OI0000002,O000002,P0030,2,108.96,81.4,0.0
OI0000003,O000003,P0012,2,111.95,84.41,0.15
OI0000004,O000003,P0020,2,56.05,32.72,0.05
OI0000005,O000004,P0075,2,104.85,76.63,0.15
OI0000006,O000004,P0061,4,70.59,55.47,0.15
OI0000007,O000005,P0058,1,14.49,9.26,0.1
OI0000008,O000006,P0038,2,22.29,12.04,0.1
OI0000009,O000007,P0066,1,55.19,36.04,0.1
OI0000010,O000008,P0069,1,76.96,55.28,0.0
OI0000011,O000009,P0046,1,43.82,26.25,0.0
OI0000012,O000010,P0034,1,31.07,16.84,0.05
OI0000013,O000010,P0048,1,80.24,58.89,0.0
OI0000014,O000010,P0041,2,114.43,78.99,0.0
OI0000015,O000011,P0020,1,47.2,32.72,0.2
OI0000016,O000012,P0047,1,110.54,81.25,0.0
OI0000017,O000013,P0061,2,78.9,55.47,0.05
OI0000018,O000014,P0021,1,141.46,102.9,0.0
OI0000019,O000014,P0064,1,66.33,32.56,0.0
OI0000020,O000014,P0060,2,77.07,44.27,0.0
OI0000021,O000015,P0056,2,81.22,51.66,0.0
OI0000022,O000015,P0026,1,83.69,62.24,0.0
OI0000023,O000015,P0023,3,129.3,91.19,0.0
OI0000024,O000016,P0072,1,86.59,62.1,0.15
OI0000025,O000016,P0012,1,118.54,84.41,0.1
OI0000026,O000017,P0001,1,104.29,51.81,0.0
OI0000027,O000018,P0002,1,139.87,116.2,0.1
OI0000028,O000019,P0070,1,38.35,25.41,0.15
OI0000029,O000019,P0044,1,46.61,31.55,0.15
OI0000030,O000020,P0014,1,89.69,64.13,0.0
OI0000031,O000021,P0029,1,139.97,78.17,0.05
OI0000032,O000021,P0067,1,38.47,20.06,0.05
OI0000033,O000022,P0025,1,94.47,71.68,0.15
OI0000034,O000023,P0015,1,85.34,42.62,
OI0000035,O000024,P0037,1,74.92,40.01,0.0
OI0000036,O000025,P0079,1,32.61,24.3,0.15
OI0000037,O000026,P0069,1,73.11,55.28,0.05
OI0000038,O000027,P0064,1,56.38,32.56,0.15
OI0000039,O000027,P0013,1,68.95,43.55,0.15
OI0000040,O000027,P0075,2,104.85,76.63,0.15
OI0000041,O000028,P0056,1,69.04,51.66,0.15
OI0000042,O000028,P0035,1,76.46,66.64,0.15
OI0000043,O000029,P0075,2,92.51,76.63,0.25
OI0000044,O000029,P0065,1,91.45,62.97,0.15
