order_id,customer_id,store_id,order_date,sales_channel,payment_method,order_status,campaign_id,promised_shipping_days,actual_shipping_days
O000001,C01553,S003,2025-01-17,In-Store,Credit Card,Completed,,0,0.0
O000002,C00089,S004,2025-01-02,Online,Credit Card,Completed,,2,2.0
O000003,C01685,S006,2025-06-10,Online,Debit Card,Completed,,3,3.0
O000004,C00823,S006,2024-11-23,In-Store,Credit Card,Completed,M0023,0,0.0
O000005,C00006,S007,2024-12-08,Online,Credit Card,Completed,M0026,4,4.0
O000006,C01620,S001,2025-04-10,Online,Credit Card,Completed,M0031,2,2.0
O000007,C00945,S009,2024-12-21,Online,Credit Card,Completed,,2,2.0
O000008,C00084,S002,2025-01-26,Online,Debit Card,Completed,,4,4.0
O000009,C01274,S004,2024-05-27,Mobile App,Debit Card,Completed,,3,3.0
O000010,C01690,S003,2024-08-03,Online,PayPal,Completed,,5,8.0
O000011,C01440,S003,2024-04-06,Mobile App,Credit Card,Completed,M0008,4,5.0
O000012,C01096,S005,2024-10-14,Online,Credit Card,Completed,,4,4.0
O000013,C00621,S007,2024-09-15,Mobile App,Gift Card,Completed,,2,2.0
O000014,C01136,S007,2025-06-29,Mobile App,PayPal,Completed,,2,5.0
O000015,C00172,S007,2024-11-29,Online,Credit Card,Completed,,5,7.0
O000016,C00699,S003,2025-03-04,Online,PayPal,Completed,M0030,3,4.0
O000017,C00273,S009,2024-07-15,Online,Debit Card,Cancelled,,3,
O000018,C00530,S006,2025-03-30,Online,Credit Card,Completed,M0030,4,5.0
O000019,C01704,S010,2024-11-30,Online,Credit Card,Completed,M0023,3,4.0
O000020,C00319,S008,2024-12-31,In-Store,Credit Card,Completed,,0,0.0
O000021,C01106,S001,2024-06-26,Mobile App,Debit Card,Completed,,5,6.0
O000022,C01099,S004,2024-11-05,Online,Credit Card,Completed,,3,3.0
O000023,C00429,S007,2024-12-08,In-Store,Credit Card,Completed,,0,0.0
O000024,C01484,S009,2024-11-21,In-Store,Credit Card,Completed,,0,0.0
O000025,C00847,S003,2025-05-18,Online,Credit Card,Completed,M0033,2,2.0
O000026,C01370,S006,2025-05-08,In-Store,Credit Card,Completed,,0,0.0
O000027,C00249,S008,2025-06-16,In-Store,Gift Card,Completed,M0034,0,0.0
O000028,C01667,S003,2024-12-20,In-Store,Debit Card,Completed,M0025,0,0.0
O000029,C00387,S006,2025-06-17,Online,Gift Card,Completed,M0034,3,6.0
O000030,C01737,S009,2025-03-31,Online,Debit Card,Completed,M0030,4,4.0
O000031,C00363,S009,2024-06-15,In-Store,Credit Card,Completed,,0,0.0
O000032,C01320,S006,2024-08-30,Online,PayPal,Completed,,2,2.0
O000033,C00068,S005,2024-05-30,In-Store,Credit Card,Completed,,0,0.0
O000034,C00438,S001,2024-01-04,Online,PayPal,Completed,,3,3.0
O000035,C01016,S003,2024-04-30,Online,Debit Card,Cancelled,M0009,3,
O000036,C01556,S003,2024-01-03,Online,PayPal,Completed,M0001,4,4.0
O000037,C01629,S004,2025-01-16,Online,Credit Card,Returned,M0027,2,2.0
O000038,C01157,S005,2024-08-29,Online,PayPal,Completed,,3,3.0
O000039,C01319,S008,2024-07-05,Mobile App,Debit Card,Completed,,3,3.0
O000040,C00296,S009,2025-02-15,Online,Credit Card,Completed,,2,2.0
O000041,C00647,S007,2025-03-31,Online,PayPal,Returned,,3,5.0
O000042,C00033,S010,2025-06-19,In-Store,PayPal,Completed,M0035,0,0.0
O000043,C01398,S006,2024-12-11,Online,Credit Card,Completed,,3,3.0
O000044,C00032,S003,2024-09-18,Online,Credit Card,Completed,M0019,2,3.0
O000045,C00555,S009,2024-07-01,In-Store,Credit Card,Completed,M0015,0,0.0
